Date,Open,High,Low,Close,Volume,Adj Close
2012-02-17,85.300003,85.300003,85.300003,85.300003,700,80.196467
2012-02-16,85.470001,85.470001,85.370003,85.370003,600,80.262279
2012-02-15,85.860001,85.860001,85.860001,85.860001,000,80.72296
2012-02-14,85.730003,85.860001,85.730003,85.860001,1800,80.72296
2012-02-13,85.559998,85.559998,85.449997,85.540001,700,80.422106
2012-02-10,85.540001,85.690002,85.50,85.690002,500,80.563133
2012-02-09,85.029999,85.160004,85.029999,85.129997,700,80.036633
2012-02-08,85.330002,85.419998,85.330002,85.419998,300,80.309283
2012-02-07,85.559998,85.559998,85.300003,85.389999,4100,80.281079
2012-02-06,86.120003,86.120003,85.690002,85.879997,2800,80.74176
2012-02-03,85.629997,85.629997,85.550003,85.550003,2100,80.43151
2012-02-02,86.199997,86.199997,86.199997,86.199997,600,81.042614
2012-02-01,86.220001,86.220001,86.199997,86.199997,300,81.042614
2012-01-31,86.269997,86.269997,86.269997,86.269997,1000,81.108426
2012-01-30,86.410004,86.480003,86.410004,86.480003,1200,81.157317
2012-01-27,85.760002,85.959999,85.760002,85.940002,600,80.650552
2012-01-26,85.610001,85.610001,85.610001,85.610001,300,80.340861
2012-01-25,85.110001,85.779999,85.110001,85.360001,7700,80.106248
2012-01-24,84.779999,84.809998,84.720001,84.769997,14800,79.552558
2012-01-23,84.75,84.839996,84.610001,84.779999,11600,79.561945
2012-01-20,85.129997,85.220001,85.040001,85.040001,900,79.805944
2012-01-19,85.610001,85.669998,85.610001,85.669998,1200,80.397166
2012-01-18,86.18,86.18,85.860001,85.860001,1400,80.575474
2012-01-17,86.00,86.059998,85.980003,86.050003,4000,80.753783
2012-01-13,85.900002,86.18,85.900002,86.120003,2800,80.819474
2012-01-12,85.639999,85.639999,85.50,85.540001,2800,80.27517
2012-01-11,85.529999,85.699997,85.440002,85.699997,17300,80.425319
2012-01-10,85.339996,85.349998,85.209999,85.209999,2300,79.965479
2012-01-09,85.370003,85.370003,85.370003,85.370003,000,80.115635
2012-01-06,85.349998,85.370003,85.290001,85.370003,4400,80.115635
2012-01-05,85.269997,85.269997,85.029999,85.029999,13900,79.796558
2012-01-04,84.989998,84.989998,84.989998,84.989998,300,79.759019
2012-01-03,85.290001,85.290001,85.269997,85.290001,600,80.040557
2011-12-30,85.830002,85.830002,85.790001,85.790001,400,80.509783
2011-12-29,85.440002,85.529999,85.440002,85.529999,1000,80.265784
2011-12-28,85.470001,85.510002,85.470001,85.510002,300,80.247018
2011-12-27,85.00,85.00,85.00,85.00,200,79.627641
2011-12-23,84.970001,85.029999,84.970001,84.980003,400,79.608908
2011-12-22,85.68,85.68,85.379997,85.379997,8900,79.98362
2011-12-21,86.160004,86.160004,86.160004,86.160004,000,80.714327
2011-12-20,86.160004,86.160004,86.160004,86.160004,300,80.714327
2011-12-19,86.339996,86.339996,86.260002,86.330002,1500,80.873581
2011-12-16,85.940002,86.190002,85.940002,86.190002,1400,80.74243
2011-12-15,85.610001,85.75,85.550003,85.739998,2700,80.320867
2011-12-14,85.510002,85.510002,85.510002,85.510002,500,80.105408
2011-12-13,84.889999,85.339996,84.889999,85.339996,1300,79.946148
2011-12-12,85.129997,85.230003,84.959999,84.959999,4000,79.590168
2011-12-09,85.010002,85.010002,84.75,84.75,1000,79.393442
2011-12-08,84.830002,85.660004,84.830002,85.25,9600,79.861839
2011-12-07,84.589996,84.809998,84.580002,84.730003,1500,79.374709
2011-12-06,85.339996,85.419998,85.269997,85.290001,1500,79.274467
2011-12-05,85.269997,85.639999,85.269997,85.639999,2600,79.59978
2011-12-02,85.32,85.489998,85.32,85.489998,1100,79.460358
2011-12-01,84.809998,85.199997,84.790001,85.199997,33600,79.190811
2011-11-30,85.169998,85.419998,85.07,85.07,11500,79.069982
2011-11-29,85.75,85.82,85.75,85.82,1100,79.62488
2011-11-28,85.339996,86.040001,85.269997,86.040001,6700,79.829
2011-11-25,86.580002,86.580002,86.580002,86.580002,000,80.33002
2011-11-23,86.099998,86.660004,86.099998,86.580002,22200,80.33002
2011-11-22,86.07,86.150002,85.919998,85.919998,800,79.71766
2011-11-21,86.050003,86.080002,85.970001,86.07,65200,79.856833
2011-11-18,85.879997,85.879997,85.639999,85.699997,700,79.51354
2011-11-17,85.690002,86.150002,85.660004,86.050003,4400,79.83828
2011-11-16,85.620003,85.75,85.599998,85.75,800,79.559934
2011-11-15,85.75,85.75,85.739998,85.739998,300,79.550653
2011-11-14,85.519997,85.720001,85.510002,85.529999,2600,79.355814
2011-11-11,85.199997,85.199997,85.190002,85.190002,200,79.040361
2011-11-10,85.519997,86.519997,85.129997,86.230003,2500,80.005287
2011-11-09,86.099998,86.099998,85.839996,85.889999,5800,79.689827
2011-11-08,85.379997,85.580002,85.089996,85.089996,1500,78.947574
2011-11-07,85.32,85.82,85.32,85.559998,4500,79.383647
2011-11-04,85.269997,85.410004,85.199997,85.239998,7600,79.086747
2011-11-03,85.239998,85.239998,85.160004,85.190002,1100,79.040361
2011-11-02,85.25,85.25,85.25,85.25,000,79.096027
2011-11-01,85.900002,85.900002,85.25,85.25,4300,79.096027
2011-10-31,84.110001,84.639999,84.110001,84.629997,4700,78.520781
2011-10-28,83.68,83.68,83.68,83.68,2000,77.526165
2011-10-27,83.190002,83.190002,83.190002,83.190002,1800,77.072202
2011-10-26,84.720001,84.720001,84.720001,84.720001,600,78.489685
2011-10-25,84.029999,84.870003,84.029999,84.870003,2800,78.628655
2011-10-24,84.389999,84.389999,83.989998,83.989998,1500,77.813366
2011-10-21,84.169998,84.470001,84.169998,84.470001,1300,78.25807
2011-10-20,84.82,84.82,84.57,84.57,600,78.350714
2011-10-19,84.480003,84.480003,84.480003,84.480003,000,78.267336
2011-10-18,84.849998,84.849998,84.480003,84.480003,1200,78.267336
2011-10-17,83.970001,83.970001,83.970001,83.970001,000,77.79484
2011-10-14,83.989998,84.129997,83.910004,83.970001,9300,77.79484
2011-10-13,84.540001,84.540001,84.279999,84.389999,1600,78.183951
2011-10-12,84.029999,84.029999,84.00,84.00,900,77.822632
2011-10-11,84.389999,84.389999,84.349998,84.360001,2000,78.156158
2011-10-10,84.089996,91.830002,83.989998,83.989998,3700,77.813366
2011-10-07,85.120003,85.120003,84.75,84.970001,17300,78.7213
2011-10-06,85.830002,85.830002,85.440002,85.440002,2300,79.156737
2011-10-05,86.290001,86.290001,85.970001,86.019997,2200,79.694078
